metal_level,company,plan_number,plan_name,plan_type,sob_url,plan_id
Gold,UnitedHealthcare,69842LA0250002,"UHC Gold Advantage+ ($0 Virtual Urgent Care, $5 Tier 2 Rx, Dental + Vision, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.69842LA0250002-01.en.2025.pdf,1228191f-9700-4c90-9962-d869f6ded987
Expanded Bronze,Blue Cross and Blue Shield of NC,11512NC0390029,Blue Home Bronze Complete | $60 PCP | $20 Tier 1 Rx | with UNC Health Alliance,EPO,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Home_Bronze_Complete_4000_with_UNC_Health_Alliance_2025.pdf,12287457-35ab-46ae-ab13-1236a47e777f
Gold,UnitedHealthcare,80180WI0100012,"UHC Gold Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, $3 Tier 2 Rx, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.80180WI0100012-01.en.2025.pdf,12307b60-1219-4903-8258-9a80267c4a9a
Silver,UnitedHealthcare,54332NC0060001,"UHC Silver Advantage+ ($0 Virtual Urgent Care, $3 Tier 2 Rx, Dental + Vision, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.54332NC0060001-01.en.2025.pdf,1232c725-64b8-496b-9632-a4a6531f6f15
Silver,Aspirus Health Plan,86584WI0010001,HMO Silver 6600,HMO,https://www.aspirushealthplan.com/group-individual/files/sbcs/2025/86584WI0010001-00.pdf,123a39ca-b157-4576-b9dd-e20484d3c5a2
Catastrophic,Avera Health Plans,60536SD0020050,Avera $9200,PPO,http://www.averahealthplans.com//app/files/public/5b9a6373-a1e4-4190-92c4-a859df98c325/SBC/2025/SD%20IND%20PPO%20Network/2025_60536SD0020018-00-01%202025_60536SD0020050-00-01%20Avera%209200.pdf,12410d6b-0e88-4470-b898-a68583df4802
Silver,Blue Cross and Blue Shield of Texas,33602TX0870252,Blue Advantage Plus Silver? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-sosa79bavitxp-tx-2025.pdf,1242c142-6016-4dad-a04c-424839290464
Silver,Medica,93078IA0070027,Inspire by Medica Silver Share,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBIMSSIA&uid=FFM.pdf,12436480-b527-4b86-9388-d50cefb9d562
Expanded Bronze,CareSource,50328WV0020024,Bronze First 7500 $25 Generic Drugs Adult Vision & Fitness,HMO,https://www.caresource.com/documents/Marketplace-2025-Federal-WV-BronzeFirst7500$25GenericDrugsAdultVision&Fitness-Base-V&F-sum.pdf,1248edff-3315-4f07-a5c1-37aaf895bd75
Catastrophic,Sanford Health Plan,89364ND0090015,"Sanford Individual TRUE $9,200",HMO,https://www.sanfordhealthplan.org/-/media/plan-documents/2025/PY25INDTRUE_9200_ND_HP2859.pdf,124dec9a-c7d8-4ab3-bfbd-d7f01cd5fcb3
Silver," Moda Health Plan, Inc.",73836AK0930002,Moda Pioneer Silver 4500,PPO,https://www.modahealth.com/-/media/modahealth/shared/plans/AK/2025/individual/Moda-Pioneer-Silver-4500-SBC-2025-AK.pdf,1252755c-b584-4851-a8f7-a48626164592
Expanded Bronze,Medica,20305NE0030041,Elevate by Medica Bronze $0 Copay PCP Visits,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBEMBCPCNE&uid=FFM.pdf,1253599d-0716-4a8e-ad06-9dd86c8abf3e
Gold,UnitedHealthcare,56610IA0110003,"UHC Gold Advantage+ ($0 Virtual Urgent Care, $1 Tier 2 Rx, Dental + Vision, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.56610IA0110003-01.en.2025.pdf,125c401d-6cc5-4de2-b0d0-a893094c21c2
Expanded Bronze,Quartz,37833WI0380251,QUARTZ ONE ACHIEVE W/ADVOCATE HEALTH CARE BRONZE (DENTAL & VISION) $0 MEDICAL DED,HMO,https://apps.quartzbenefits.com/sbc/Document.aspx?i=Q1B253825101/view.pdf,12604dc7-b87e-45e2-ac74-e2ebe8ff57f9
Expanded Bronze,CHRISTUS Health Plan,66252TX0330013,CHRISTUS Bronze Plus,HMO,https://chppayment.christushealth.org/documents/2025/SBC/66252_SBC_CHRISTUS_Bronze_Plus_2025.pdf,1261bb83-8b55-4701-98f9-1b1467fc2437
Silver,Oscar Insurance Corporation of Ohio,45845OH0100060,Silver Simple Chronic Care CKM,HMO,https://d3ul0st9g52g6o.cloudfront.net/2025/OH/sbc/2025_45845OH010006001.pdf,12632c8b-1b3e-4fb6-a66f-247d27c8825d
Silver,Providence Health Plan,56707OR1380009,Connect 5000 Silver,EPO,https://providencehealthplan.com/-/media/providence/website/pdfs/indi-fam/2025/SBC/OR/2025_Connect_5000_Silver_01.pdf,126ec041-02f5-4614-b7ee-b05842fb5a2b
Silver,Blue Cross and Blue Shield of Texas,33602TX0460699,Blue Advantage Silver HMO? 205,HMO,https://www.bcbstx.com/sbc/ind/sbc-shsh31bavitxp-tx-2025.pdf,126fdd68-49b5-4785-bb8d-5a2f660c4aa0
Expanded Bronze,Cigna Healthcare,48121FL0070122,Connect Bronze 5500 Indiv Med Deductible,EPO,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-25-sbc-fl-945265-b-connect5500.pdf,1288b951-8993-46da-ac75-bf1ec275dd94
Expanded Bronze,Blue Cross and Blue Shield of Nebraska,29678NE1540014,HeartlandBlue Bronze 5000 Premier Select BlueChoice w/ Adult Vision,EPO,https://sbc.nebraskablue.com/home/retrievesbc/M23840001_2025.pdf,1291f9d0-3264-47c9-a2d8-289d7874e827
Silver,Blue Cross and Blue Shield of Montana,30751MT0670029,Blue Focus Silver POS? Standard,POS,https://www.bcbsmt.com/sbc/ind/sbc-sosa60blcimtp-mt-2025.pdf,1299ba6f-7cd1-46f7-82d1-d6bf9ff711bb
Expanded Bronze,Blue Cross Blue Shield of Arizona,53901AZ1420131,Blue StandardHealth Bronze - Neighborhood Network,HMO,https://common.secure.azblue.com/SBC/GetSBC?ProductName=StandardHealth%20Bronze%20&Deductibles=7500&EffectiveDate=2025/01/01&ContractType=2.pdf,1299ebd1-8435-47a4-8de0-afbd5bfc4afd
Silver,Blue Cross and Blue Shield of Illinois,36096IL0810147,Blue Precision Silver HMO? Standard - Select Rx Copays,HMO,https://www.bcbsil.com/sbc/ind/sbc-shsa48baviilp-il-2025.pdf,12aea111-7a43-42fb-8813-b908a140e214
Silver,BlueCross BlueShield of Tennessee,14002TN0400269,BlueCross S26E $40 PCP Copay + $0 virtual care from Teladoc Health �,EPO,https://www.bcbst.com/sbc/2025/127600/S26E_SBC.pdf,12af6335-65d9-4cca-8bf9-f51ad2897f3a
Gold,Medica,57845WI0050055,Engage by Medica Gold Standard,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBEMGSTWI&uid=FFM.pdf,12b813f9-8752-4c28-a8c1-00fedbf7a4a0
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0461160,MyBlue Health Bronze? Standard,HMO,https://www.bcbstx.com/sbc/ind/sbc-bhsd42bftitxp-tx-2025.pdf,12b8705f-d295-41ef-9613-f26182fe11bb
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0461051,Blue Advantage Bronze HMO? Standard,HMO,https://www.bcbstx.com/sbc/ind/sbc-bhsa90bavitxp-tx-2025.pdf,12c6f6a9-b8f5-4db2-9abb-a65b6ced9eda
Gold,CHRISTUS Health Plan,66252TX0290001,CHRISTUS Standard Gold,HMO,https://chppayment.christushealth.org/documents/2025/SBC/66252_SBC_CHRISTUS_Standard_Gold_2025.pdf,12c9cd48-fe57-47b4-a7a2-2798f9af4dea
Expanded Bronze,"Oscar Health Plan, Inc.",11574IL0020050,Bronze Classic Standard (Select),HMO,https://d3ul0st9g52g6o.cloudfront.net/2025/IL/sbc/2025_11574IL002005001.pdf,12cc5f00-1cbe-49e7-ae58-a5245a10ebaf
Silver,Providence Health Plan,56707OR1330004,Providence Oregon Standard Silver Plan - Choice Network,EPO,https://providencehealthplan.com/-/media/providence/website/pdfs/indi-fam/2025/SBC/OR/2025_Providence_Oregon_Standard_Silver_Plan_Choice_Network_01.pdf,12dd8690-f252-4cad-942c-37449cd83a89
Bronze,Blue Cross and Blue Shield of Texas,33602TX0460794,Blue Advantage Bronze HMO? 301,HMO,https://www.bcbstx.com/sbc/ind/sbc-bhsh42bavitxp-tx-2025.pdf,12e2dc0a-074f-4c6e-8bbc-03aa7ab4933f
Expanded Bronze,Blue Cross and Blue Shield of Illinois,36096IL0990343,Blue Choice Preferred Bronze PPO? Standard - Select Rx Copays,PPO,https://www.bcbsil.com/sbc/ind/sbc-bpsa81bceiilp-il-2025.pdf,12e3e5b0-5aba-422e-9bfd-5ac7e28f1086
Expanded Bronze,SummaCare,52664OH1530022,SummaCare Bronze 9200 with 3 Free PCP Visits,HMO,https://www.summacare.com/-/media/Project/SummaCare/Website/Document-Library/SBCs/IFP/2025/2025-SBC-SummaCare-Bronze-9200-EHB-Only.pdf,12ed7297-0a1c-4447-9b81-1dea8948adfd
Catastrophic,Quartz,37833WI0540089,QUARTZ ONE ACHIEVE W/GUNDERSEN CATASTROPHIC $9200 DED,HMO,https://apps.quartzbenefits.com/sbc/Document.aspx?i=Q1C255408901/view.pdf,12eecbb4-cb85-4fc6-a6bd-b7304f26c18c
Bronze,Blue Cross and Blue Shield of Texas,33602TX0461076,Blue Advantage Bronze HMO? 301,HMO,https://www.bcbstx.com/sbc/ind/sbc-bhsh42bavitxp-tx-2025.pdf,12f457ce-6fbf-443b-90b2-dc456169d51a
Gold,BlueCross BlueShield of Tennessee,14002TN0400202,BlueCross G06S $35 PCP Copay + $0 virtual care from Teladoc Health �,EPO,https://www.bcbst.com/sbc/2025/127600/G06S_SBC.pdf,12fc8383-e90e-4ee7-90fb-fbaa77a024bb
Gold,Blue Cross and Blue Shield of Texas,33602TX0870162,Blue Advantage Plus Gold? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxp-tx-2025.pdf,12fff476-044a-4280-96ea-0194247ca685
Catastrophic,Blue Cross and Blue Shield of Illinois,36096IL0990183,Blue Choice Preferred Security PPO? 200,PPO,https://www.bcbsil.com/sbc/ind/sbc-cpsh30bceiilp-il-2025.pdf,1300858d-4f33-4e36-ab9d-f642c4e63217
Expanded Bronze,Quartz,37833WI0510252,QUARTZ ONE ACHIEVE W/ADVOCATE HEALTH CARE BRONZE STANDARD EASY PRICING,HMO,https://apps.quartzbenefits.com/sbc/Document.aspx?i=Q1B255125201/view.pdf,1309cd0e-0edc-49aa-9a7d-b3724b93aba5
Gold,UnitedHealthcare,45480OK0110001,"UHC Gold Advantage+ ($0 Virtual Urgent Care, Dental + Vision, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.45480OK0110001-01.en.2025.pdf,1309ea5e-e37f-46bb-a3e4-464170edfcf6
Expanded Bronze,Quartz,37833WI0540065,QUARTZ ONE ACHIEVE W/ADVOCATE HEALTH CARE BRONZE $7250 HSA,HMO,https://apps.quartzbenefits.com/sbc/Document.aspx?i=Q1B255406501/view.pdf,130f7ead-57d8-4d30-9867-de61a5bb7569
Gold,Blue Cross Blue Shield of Arizona,53901AZ1420078,Blue EverydayHealth Gold - MaricopaFocus Network,HMO,https://common.secure.azblue.com/SBC/GetSBC?ProductName=EverydayHealth%20Gold%20&Deductibles=1300&EffectiveDate=2025/01/01&ContractType=2.pdf,1311d646-2efc-4c49-bd40-6a4f8bbfd9ed
Expanded Bronze,Wellpoint,47501TX0040002,Wellpoint Essential Bronze 4000 HSA ($0 Virtual PCP + $0 Select Drugs + Incentives),HMO,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialBronze4000HSA0VirtualPCP0SelectDrugsIncentives/7ZJG/English/DG166705513357.pdf,131def97-4c08-4a6c-97ec-a2106510f3b4
Expanded Bronze,Wellpoint,44228FL0040007,Wellpoint Essential Bronze 5500 Adult Dental/Vision ($0 Virtual PCP+$0 Select Drugs+Incentives),HMO,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialBronze5500AdultDentalVision0VirtualPCP0SelectDrugsIncentives/849C/English/DG166705513114.pdf,131ea284-9c08-400a-b6d2-4e09dea28180
Silver,Medica,73751ND0120076,Altru Prime by Medica Silver Share,HMO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBAPSSND&uid=FFM.pdf,132607c5-d867-4c0e-b6d7-4aa98fa84a13
Gold,Avera Health Plans,60536SD0060017,Avera Direct Standard $1500,HMO,http://www.averahealthplans.com/app/files/public/91de98de-2b42-48d2-8659-5a450e1e48a5/SBC/2025/SD%20IND%20Direct%20Network/2025_60536SD0060017-00-01%20AveraDirStand1500.pdf,1332ae45-5217-4e26-b0f9-84a16230ed71
Gold,Blue Cross and Blue Shield of Texas,33602TX0460567,Blue Advantage Gold HMO? 206,HMO,https://www.bcbstx.com/sbc/ind/sbc-ghsh30bavitxp-tx-2025.pdf,1347d1fc-a8b3-427a-92bd-328596b54fcd
Gold,UnitedHealthcare,72850IN0160007,UHC Gold Standard (No Referrals),EPO,https://www.uhc.com/ifp/sbc.72850IN0160007-01.en.2025.pdf,134d60f8-96f4-48d0-8738-bb45291261c0
Gold,Providence Health Plan,56707OR1320004,Providence Oregon Standard Gold Plan - Choice Network,EPO,https://providencehealthplan.com/-/media/providence/website/pdfs/indi-fam/2025/SBC/OR/2025_Providence_Oregon_Standard_Gold_Plan_Choice_Network_01.pdf,13514863-d027-478a-ace2-97c2b4b14af3
Expanded Bronze,Medica,20305NE0050051,Medica with CHI Health Bronze Premier,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBCHBPNE&uid=FFM.pdf,13530cf4-76bd-4d40-a1bc-f7343c8f31ca
Expanded Bronze,BlueCross BlueShield of Tennessee,14002TN0400300,BlueCross B07E HSA,EPO,https://www.bcbst.com/sbc/2025/127600/B07E_SBC.pdf,135973cb-dd4f-43ab-bc97-49dd8aa517ee
Gold,Blue Cross and Blue Shield of NC,11512NC0400004,Blue Home Gold Standard | with Novant Health,EPO,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Home_Gold_Standard_1500_with_Novant_Health_2025.pdf,135a7707-b676-4e72-bf6a-76160ae168a5
Gold,"Sendero Health Plans, Local Nonprofit",71837TX0010018,Sendero Health Hill Country Gold / $30 PCP / $60 Specialist / $15 Generic Drugs,HMO,http://senderohealth.com/files/2025/71837TX001001801.pdf,135ece32-a32b-42b1-9935-e0ad81e39ad8
Silver,BlueCross BlueShield of Tennessee,14002TN0400264,BlueCross S26S $40 PCP Copay + $0 virtual care from Teladoc Health �,EPO,https://www.bcbst.com/sbc/2025/127600/S26S_SBC.pdf,13654cd6-0694-4a28-bc0e-46b0f21b4f63
Expanded Bronze,Dean Health Plan,38345WI0240017,Prevea360 Expanded Bronze Standard,HMO,https://sbc.prevea360.com/api/GetPdfFile/true/Prevea360-Expanded-Bronze-Standard-7500-01_0125.PDF,1368d1fb-1053-45dc-97ab-90e882343c68
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0870062,Blue Advantage Plus Bronze? 303,POS,https://www.bcbstx.com/sbc/ind/sbc-bosh45bavitxp-tx-2025.pdf,13704a8c-2fa0-44f8-af22-7cf753ab3d14
Gold,CHRISTUS Health Plan,66252TX0370001,CHRISTUS Gold Plus,HMO,https://chppayment.christushealth.org/documents/2025/SBC/66252_SBC_CHRISTUS_Gold_Plus_2025.pdf,137230a4-c051-495e-baee-c03ce1812ab3
Gold,UnitedHealthcare,49714WY0200009,UHC Gold Standard (No Referrals),EPO,https://www.uhc.com/ifp/sbc.49714WY0200009-01.en.2025.pdf,137a73a3-8b57-4445-bcb1-b70447d910fc
Silver,Blue Cross and Blue Shield of Texas,33602TX0461173,MyBlue Health Silver? Standard,HMO,https://www.bcbstx.com/sbc/ind/sbc-shsd50bftitxp-tx-2025.pdf,137abade-f644-4be1-9312-578ac608e93b
Gold,Ambetter of Alabama,53932AL0110010,Complete Gold + Vision + Adult Dental,EPO,https://api.centene.com/SBC/2025/53932AL0110010-01.pdf,13836dde-5972-4306-9227-a40cc4041607
Gold,Blue Cross and Blue Shield of Texas,33602TX0460931,Blue Advantage Gold HMO? Standard,HMO,https://www.bcbstx.com/sbc/ind/sbc-ghsa71bavitxp-tx-2025.pdf,138716e1-2f16-4c1b-9f71-096e3341ba11
Expanded Bronze,Wellpoint,44228FL0040005,Wellpoint Essential Bronze 6000 ($0 Virtual PCP + $0 Select Drugs + Incentives),HMO,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialBronze60000VirtualPCP0SelectDrugsIncentives/849R/English/DG166705513108.pdf,138c8be8-7fed-4889-8391-43c1949fcc54
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0461163,MyBlue Health Bronze? Standard,HMO,https://www.bcbstx.com/sbc/ind/sbc-bhsd42bftitxp-tx-2025.pdf,138cdbaa-6112-48e2-89cb-debdbde9520e
Expanded Bronze,Blue Cross and Blue Shield of NC,11512NC0100012,Blue Value Bronze Complete | $60 PCP | $20 Tier 1 Rx | Limited Statewide Doctors,POS,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Value_Bronze_Complete_4000_2025.pdf,138f1711-31f5-4587-9cf1-12a5aa8e3fdd
Gold,Blue Cross and Blue Shield of Montana,30751MT0550102,Blue Preferred Gold PPO? 901,PPO,https://www.bcbsmt.com/sbc/ind/sbc-gpse21ppoimtp-mt-2025.pdf,138fc170-36e3-4604-aaaa-cf7a8d0a1107
Silver,Premera Blue Cross Blue Shield of Alaska,38344AK1100002,Premera Blue Cross Standard Silver,PPO,https://www.premera.com/documents/059177_2025.pdf,1390674a-360a-4b65-82df-3dfeb5116f08
Gold,Ambetter of North Carolina,77264NC0010061,Standard Gold with Atrium Health,HMO,https://api.centene.com/SBC/2025/77264NC0010061-01.pdf,1392f397-e1c3-40e6-80d6-774028c91c63
Silver,Wellpoint,44228FL0040012,Wellpoint Essential Silver 3500 ($0 Virtual PCP + $0 Select Drugs + Incentives),HMO,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialSilver35000VirtualPCP0SelectDrugsIncentives/84A0/English/DG166705513243.pdf,13936f77-d5d8-4dd6-8d6e-a792d3d97ece
Gold,Blue Cross and Blue Shield of Texas,33602TX0870124,Blue Advantage Plus Gold? 203,POS,https://www.bcbstx.com/sbc/ind/sbc-gosh30bavitxp-tx-2025.pdf,1396aefa-c0bf-48b2-b27b-b807f2c3a107
Gold,Medica,21333OK0060075,Balance by Medica Gold Share,PPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBBLGSOK&uid=FFM.pdf,13972027-8d89-4f8a-96f4-9e593e88a994
Expanded Bronze,Blue Cross and Blue Shield of NC,11512NC0100054,Blue Value Bronze Complete | $60 PCP | $20 Tier 1 Rx | Limited Statewide Doctors,POS,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Value_Bronze_Complete_4000_2025.pdf,139db359-1a0d-487e-a288-a2524f6d1ca0
Catastrophic,Blue Cross and Blue Shield of Texas,33602TX0460674,Blue Advantage Security HMO? 200,HMO,https://www.bcbstx.com/sbc/ind/sbc-chsh30bavitxp-tx-2025.pdf,139e752e-8b29-455b-a2fd-2ed7304c9bce
Silver,UnitedHealthcare,68398FL0030040,UHC Silver Standard,HMO,https://www.uhc.com/ifp/sbc.68398FL0030040-01.en.2025.pdf,13a09b9e-5ffa-4863-9a0e-b14c15bd819e
Silver,Blue Cross and Blue Shield of Texas,33602TX0461104,Blue Advantage Silver HMO? 801,HMO,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxp-tx-2025.pdf,13a48dad-0cb1-4205-83c8-2ef981801e7d
Expanded Bronze,CHRISTUS Health Plan,66252TX0300003,CHRISTUS Standard Expanded Bronze,HMO,https://chppayment.christushealth.org/documents/2025/SBC/66252_SBC_CHRISTUS_Standard_Expanded_Bronze_2025.pdf,13a804e1-7156-4707-96e4-e393ebf6ddc9
Silver,AvMed,19898FL0340043,AvMed Entrust Silver 350 (2025),HMO,https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2025%2FSBC%2FIFP%2FAVINHS16580101250624.pdf,13ad7f21-48f9-4223-b709-011291fc854a
Expanded Bronze,Blue Cross and Blue Shield of Montana,30751MT0550092,Blue Preferred Bronze PPO? Standard,PPO,https://www.bcbsmt.com/sbc/ind/sbc-bpsa85ppoimtp-mt-2025.pdf,13b05178-575d-49da-bc6c-c90f18f3c1ab
Gold," Moda Health Plan, Inc.",73836AK0940001,Moda Pioneer Alaska Standard Gold,PPO,https://www.modahealth.com/-/media/modahealth/shared/plans/AK/2025/individual/Moda-Pioneer-Alaska-Standard-Gold-SBC-2025-AK.pdf,13b0d6ce-6d92-4e89-b884-2b97fbdb8fc1
Expanded Bronze,Blue Cross and Blue Shield of Nebraska,29678NE1500001,HeartlandBlue Bronze HSA 6500 Blueprint Health,EPO,https://sbc.nebraskablue.com/home/retrievesbc/M23115003_2025.pdf,13b897bb-af0b-4f7e-8006-acd26afff6f5
Gold,Blue Cross and Blue Shield of Texas,33602TX0460824,Blue Advantage Gold HMO? 603,HMO,https://www.bcbstx.com/sbc/ind/sbc-ghsa27bavitxp-tx-2025.pdf,13c016e9-30de-4984-a990-a22e928a7400
Expanded Bronze,UnitedHealthcare,80180WI0100004,"UHC Bronze Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.80180WI0100004-01.en.2025.pdf,13cd6165-bf70-4fd2-b457-13be67b6f60f
Silver,"Antidote Health Plan of Arizona, Inc.",68445AZ0610020,"Silver Elite $0 Tier-1 PCP, $0 Antidote 24/7 Virtual PCP/Urg/Chronic Care/Referred Labs, $0 Advanced Rx",HMO,http://www.antidotehealth.com/assets/docs/25/m-sbc-25-az-en-68445AZ0610020-01-s-elite-on.pdf,13d109f0-b5f7-45d5-b5d9-2c3003294349
Silver,Blue Cross and Blue Shield of Montana,30751MT0670033,Blue Focus Silver POS? 903,POS,https://www.bcbsmt.com/sbc/ind/sbc-sose25blcimtp-mt-2025.pdf,13e1cabd-383c-427b-9355-8afde3e52b5b
Gold,CHRISTUS Health Plan,66252TX0360013,CHRISTUS Gold,HMO,https://chppayment.christushealth.org/documents/2025/SBC/66252_SBC_CHRISTUS_Gold_2025.pdf,13e3f1db-b9e5-46bb-9b28-0179c6ea1061
Silver,Blue Cross and Blue Shield of Texas,33602TX0870188,Blue Advantage Plus Silver? 202,POS,https://www.bcbstx.com/sbc/ind/sbc-sosh30bavitxp-tx-2025.pdf,13e4121d-23b9-4a88-a002-c0f606c7ee94
Gold,Blue Cross and Blue Shield of Texas,33602TX0870134,Blue Advantage Plus Gold? 203,POS,https://www.bcbstx.com/sbc/ind/sbc-gosh30bavitxp-tx-2025.pdf,13fb1c7c-bcbf-44c5-a9dc-ac94199b3c70
Silver,"Oscar Health Plan, Inc.",11574IL0010052,Silver Classic Standard (Choice),HMO,https://d3ul0st9g52g6o.cloudfront.net/2025/IL/sbc/2025_11574IL001005201.pdf,13fdd45e-6176-4cfb-a0b6-c296b0a5d37a
Silver,Aetna CVS Health,96992IN0060009,Silver S: Aetna network + $0 MinuteClinic + $0 CVS Health Virtual Care 24/7,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774658_96992IN0060009-01_SBC.pdf,1402a2a7-dc94-44e3-992e-7ea34b5867bb
Silver,Blue Cross and Blue Shield of Oklahoma,87571OK0510099,MyBlue Silver HMO? Standard,HMO,https://www.bcbsok.com/sbc/ind/sbc-shsa66baviokp-ok-2025.pdf,1404c8da-9172-4ada-8691-6653d5170a99
Silver,Aetna CVS Health,84867OH0100013,Silver 10 Advanced: $0 PCP + Aetna network + $0 MinuteClinic + $0 CVS Health Virtual Primary Care,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774853_84867OH0100013-01_SBC.pdf,14075236-919e-4845-a202-39dd9fe551a4
Expanded Bronze,Blue Cross and Blue Shield of Illinois,36096IL0990334,Blue Choice Preferred Bronze PPO? Standard - Select Rx Copays,PPO,https://www.bcbsil.com/sbc/ind/sbc-bpsa81bceiilp-il-2025.pdf,140a6112-f580-4992-bb2c-e26f9a893065
Silver,Aetna CVS Health,38927UT0380006,Silver 5 Advanced: Aetna network of doctors & hospitals,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-777892_38927UT0380006-01_SBC.pdf,1414fe4b-e11d-445d-bb0c-96eeca2321dd
Expanded Bronze,Blue Cross and Blue Shield of Illinois,36096IL0810112,Blue Precision Bronze HMO? 205,HMO,https://www.bcbsil.com/sbc/ind/sbc-bhsh31baviilp-il-2025.pdf,1419c401-dd4d-462b-8d2c-881b0aa08898
Gold,Quartz,37833WI0510241,QUARTZ ONE ACHIEVE W/ADVOCATE HEALTH CARE GOLD MAINTENANCE $500 DED,HMO,https://apps.quartzbenefits.com/sbc/Document.aspx?i=Q1G255124101/view.pdf,141f0248-2143-47b6-a26a-55e74ffc1e1e
Silver,Blue Cross Blue Shield of Arizona,53901AZ1420106,Blue AdvanceHealth Silver - Neighborhood Network,HMO,https://common.secure.azblue.com/SBC/GetSBC?ProductName=AdvanceHealth%20Silver%20&Deductibles=6600&EffectiveDate=2025/01/01&ContractType=2.pdf,1423483e-1694-4054-b01a-78f0d2e63c83
Gold,Blue Cross and Blue Shield of Texas,33602TX0460930,Blue Advantage Gold HMO? Standard,HMO,https://www.bcbstx.com/sbc/ind/sbc-ghsa71bavitxp-tx-2025.pdf,14255370-451a-452e-8b0f-e43ecee504b9
Silver,Blue Cross and Blue Shield of Illinois,36096IL0990143,Blue Choice Preferred Silver PPO? 203,PPO,https://www.bcbsil.com/sbc/ind/sbc-spsh30bceiilp-il-2025.pdf,14282ff7-c802-4d2f-8bae-a9ef8ced5f4c
Expanded Bronze,Oscar Insurance Company of Florida,40572FL0200050,Bronze Classic Standard,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/FL/sbc/2025_40572FL020005001.pdf,142d3ce9-e3b5-4c7d-9fa5-83a57736571d
Expanded Bronze,Ambetter from Louisiana Healthcare Connections,90787LA0010002,Elite Bronze,EPO,https://api.centene.com/SBC/2025/90787LA0010002-01.pdf,143cc62e-3b1f-4b32-92d6-0c7a62715ae6
Silver,Kaiser Permanente,60612HI0110019,KP HI Standard Silver 5000/40,HMO,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/summary-of-benefits/hi/individual-family/2025/60612HI0110019-01-en-2025.pdf,1441d9bc-4541-4d23-a694-9ca84acc8057
Silver,Mountain Health CO-OP,38576WY0020009,High Plains Silver Standard,PPO,https://mountainhealth.coop/wp-content/uploads/plans/2025/2025_WY_IND_HIGH_PLAINS_SILVER_STANDARD_SBC.pdf,144628c5-5676-4e29-8c1d-6dab41e5504b
Silver,Blue Cross and Blue Shield of NC,11512NC0390014,Blue Home Silver Preferred | 3 Free PCP | $10 Tier 1 Rx | Integrated | with UNC Health Alliance,EPO,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Home_Silver_Preferred_1575_with_UNC_Health_Alliance_2025.pdf,14474879-1a83-4123-82d7-876964849484
Silver,Blue Cross Blue Shield of Arizona,53901AZ1420008,Blue EverydayHealth Silver - Neighborhood Network,HMO,https://common.secure.azblue.com/SBC/GetSBC?ProductName=EverydayHealth%20Silver%20&Deductibles=5000&EffectiveDate=2025/01/01&ContractType=2.pdf,14496268-cc23-44d3-bbe2-37dcee4f46b8
